timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676755311592,913,NikonUKHomepage,200,OK,Nion UK run-3 1-2,text,true,,118930,238,5,5,https://www.nikon.co.uk/en_GB/,287,0,16
1676755311592,287,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-2,,true,,232,119,5,5,http://www.nikon.co.uk/en_GB/,287,0,16
1676755311881,624,NikonUKHomepage-1,200,OK,Nion UK run-3 1-2,text,true,,118698,119,5,5,https://www.nikon.co.uk/en_GB/,511,0,63
1676755311330,1320,NikonUKHomepage,200,OK,Nion UK run-3 1-1,text,true,,118922,238,6,6,https://www.nikon.co.uk/en_GB/,279,0,8
1676755311330,279,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-1,,true,,232,119,6,6,http://www.nikon.co.uk/en_GB/,279,0,8
1676755311611,1039,NikonUKHomepage-1,200,OK,Nion UK run-3 1-1,text,true,,118690,119,6,6,https://www.nikon.co.uk/en_GB/,704,0,67
1676755311843,978,NikonUKHomepage,200,OK,Nion UK run-3 1-3,text,true,,118943,238,6,6,https://www.nikon.co.uk/en_GB/,270,0,9
1676755311843,270,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-3,,true,,232,119,6,6,http://www.nikon.co.uk/en_GB/,270,0,9
1676755312114,707,NikonUKHomepage-1,200,OK,Nion UK run-3 1-3,text,true,,118711,119,6,6,https://www.nikon.co.uk/en_GB/,476,0,39
1676755312089,908,NikonUKHomepage,200,OK,Nion UK run-3 1-4,text,true,,118886,238,7,7,https://www.nikon.co.uk/en_GB/,264,0,4
1676755312089,264,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-4,,true,,232,119,7,7,http://www.nikon.co.uk/en_GB/,264,0,4
1676755312355,642,NikonUKHomepage-1,200,OK,Nion UK run-3 1-4,text,true,,118654,119,7,7,https://www.nikon.co.uk/en_GB/,606,0,84
1676755312583,849,NikonUKHomepage,200,OK,Nion UK run-3 1-6,text,true,,118837,238,9,9,https://www.nikon.co.uk/en_GB/,255,0,20
1676755312583,255,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-6,,true,,232,119,9,9,http://www.nikon.co.uk/en_GB/,255,0,20
1676755312838,594,NikonUKHomepage-1,200,OK,Nion UK run-3 1-6,text,true,,118605,119,9,9,https://www.nikon.co.uk/en_GB/,563,0,32
1676755312342,1251,NikonUKHomepage,200,OK,Nion UK run-3 1-5,text,true,,118921,238,10,10,https://www.nikon.co.uk/en_GB/,262,0,17
1676755312342,262,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-5,,true,,232,119,10,10,http://www.nikon.co.uk/en_GB/,262,0,17
1676755312606,987,NikonUKHomepage-1,200,OK,Nion UK run-3 1-5,text,true,,118689,119,10,10,https://www.nikon.co.uk/en_GB/,512,0,48
1676755312830,1036,NikonUKHomepage,200,OK,Nion UK run-3 1-7,text,true,,118931,238,11,11,https://www.nikon.co.uk/en_GB/,251,0,4
1676755312830,251,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-7,,true,,232,119,11,11,http://www.nikon.co.uk/en_GB/,251,0,4
1676755313084,782,NikonUKHomepage-1,200,OK,Nion UK run-3 1-7,text,true,,118699,119,11,11,https://www.nikon.co.uk/en_GB/,589,0,29
1676755313089,901,NikonUKHomepage,200,OK,Nion UK run-3 1-8,text,true,,118930,238,11,11,https://www.nikon.co.uk/en_GB/,248,0,7
1676755313089,248,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-8,,true,,232,119,11,11,http://www.nikon.co.uk/en_GB/,248,0,7
1676755313339,651,NikonUKHomepage-1,200,OK,Nion UK run-3 1-8,text,true,,118698,119,11,11,https://www.nikon.co.uk/en_GB/,614,0,38
1676755313332,1378,NikonUKHomepage,200,OK,Nion UK run-3 1-9,text,true,,118915,238,14,14,https://www.nikon.co.uk/en_GB/,255,0,6
1676755313332,255,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-9,,true,,232,119,14,14,http://www.nikon.co.uk/en_GB/,255,0,6
1676755313588,1122,NikonUKHomepage-1,200,OK,Nion UK run-3 1-9,text,true,,118683,119,14,14,https://www.nikon.co.uk/en_GB/,678,0,23
1676755314320,750,NikonUKHomepage,200,OK,Nion UK run-3 1-13,text,true,,118844,238,15,15,https://www.nikon.co.uk/en_GB/,249,0,8
1676755314320,249,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-13,,true,,232,119,15,15,http://www.nikon.co.uk/en_GB/,249,0,8
1676755314571,499,NikonUKHomepage-1,200,OK,Nion UK run-3 1-13,text,true,,118612,119,15,15,https://www.nikon.co.uk/en_GB/,468,0,28
1676755313581,1552,NikonUKHomepage,200,OK,Nion UK run-3 1-10,text,true,,118893,238,16,16,https://www.nikon.co.uk/en_GB/,437,0,6
1676755313581,437,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-10,,true,,232,119,16,16,http://www.nikon.co.uk/en_GB/,437,0,6
1676755314019,1114,NikonUKHomepage-1,200,OK,Nion UK run-3 1-10,text,true,,118661,119,16,16,https://www.nikon.co.uk/en_GB/,1030,0,38
1676755313832,1330,NikonUKHomepage,200,OK,Nion UK run-3 1-11,text,true,,118943,238,16,16,https://www.nikon.co.uk/en_GB/,267,0,6
1676755313832,267,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-11,,true,,232,119,16,16,http://www.nikon.co.uk/en_GB/,267,0,6
1676755314100,1062,NikonUKHomepage-1,200,OK,Nion UK run-3 1-11,text,true,,118711,119,16,16,https://www.nikon.co.uk/en_GB/,588,0,30
1676755312821,3006,Nikon Z-30,200,OK,Nion UK run-3 1-3,text,true,,186127,280,18,18,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,253,0,0
1676755312821,253,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-3,,true,,253,140,18,18,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,253,0,0
1676755313074,2753,Nikon Z-30-1,200,OK,Nion UK run-3 1-3,text,true,,185874,140,18,18,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,2210,0,0
1676755314832,1248,NikonUKHomepage,200,OK,Nion UK run-3 1-15,text,true,,119012,238,20,20,https://www.nikon.co.uk/en_GB/,247,0,4
1676755314832,247,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-15,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,247,0,4
1676755315080,1000,NikonUKHomepage-1,200,OK,Nion UK run-3 1-15,text,true,,118780,119,20,20,https://www.nikon.co.uk/en_GB/,706,0,20
1676755314080,2103,NikonUKHomepage,200,OK,Nion UK run-3 1-12,text,true,,118710,238,20,20,https://www.nikon.co.uk/en_GB/,243,0,4
1676755314080,243,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-12,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,243,0,4
1676755314323,1860,NikonUKHomepage-1,200,OK,Nion UK run-3 1-12,text,true,,118478,119,20,20,https://www.nikon.co.uk/en_GB/,1447,0,21
1676755315080,1358,NikonUKHomepage,200,OK,Nion UK run-3 1-16,text,true,,118939,238,20,20,https://www.nikon.co.uk/en_GB/,249,0,5
1676755315080,249,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-16,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,249,0,5
1676755315329,1109,NikonUKHomepage-1,200,OK,Nion UK run-3 1-16,text,true,,118707,119,20,20,https://www.nikon.co.uk/en_GB/,608,0,18
1676755313594,2891,Nikon Z-30,200,OK,Nion UK run-3 1-5,text,true,,186164,280,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,238,0,0
1676755313594,238,Nikon Z-30-0,301,Moved Permanently,Nion UK run-3 1-5,,true,,253,140,20,20,http://www.nikon.co.uk/en_GB/product/cameras/z-30/,238,0,0
1676755313832,2653,Nikon Z-30-1,200,OK,Nion UK run-3 1-5,text,true,,185911,140,20,20,https://www.nikon.co.uk/en_GB/product/cameras/z-30/,2391,0,0
1676755315330,1284,NikonUKHomepage,200,OK,Nion UK run-3 1-17,text,true,,118866,238,20,20,https://www.nikon.co.uk/en_GB/,265,0,9
1676755315330,265,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-17,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,265,0,9
1676755315595,1019,NikonUKHomepage-1,200,OK,Nion UK run-3 1-17,text,true,,118634,119,20,20,https://www.nikon.co.uk/en_GB/,901,0,20
1676755314583,2521,NikonUKHomepage,200,OK,Nion UK run-3 1-14,text,true,,118689,238,20,20,https://www.nikon.co.uk/en_GB/,430,0,4
1676755314583,430,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-14,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,430,0,4
1676755315015,2089,NikonUKHomepage-1,200,OK,Nion UK run-3 1-14,text,true,,118457,119,20,20,https://www.nikon.co.uk/en_GB/,1475,0,42
1676755315581,1893,NikonUKHomepage,200,OK,Nion UK run-3 1-18,text,true,,118937,238,20,20,https://www.nikon.co.uk/en_GB/,248,0,5
1676755315581,248,NikonUKHomepage-0,301,Moved Permanently,Nion UK run-3 1-18,,true,,232,119,20,20,http://www.nikon.co.uk/en_GB/,248,0,5
1676755315831,1643,NikonUKHomepage-1,200,OK,Nion UK run-3 1-18,text,true,,118705,119,20,20,https://www.nikon.co.uk/en_GB/,1389,0,26
